"X","Y","LSOA2011"
418850.976,547967.355,"E01020633"
409043.804,551813.538,"E01020630"
409543.966,551573.167,"E01020631"
416548.267,552094.762,"E01020638"
431075.365,563723.787,"E01008646"
438218.842,565905.349,"E01008647"
431254.713,563234.456,"E01008644"
430583.207,564003.673,"E01008642"
430716.616,563267.925,"E01008643"
430630.338,564696.177,"E01008640"
430939.603,564281.286,"E01008641"
437765.772,566447.312,"E01008648"
439072.363,565298.74,"E01008649"
423470.95,611186.76,"E01027356"
419720.429,612942.265,"E01027357"
419162.505,612501.45,"E01027358"
418056.846,613103.206,"E01027359"
450212.835,533758.803,"E01033466"
448723.1,534863.342,"E01033465"
450011.977,519972.943,"E01033468"
449785.646,518283.498,"E01033469"
418626.459,586482.717,"E01027456"
419882.015,586462.742,"E01027457"
418873.15,585262.856,"E01027455"
420426.708,585741.641,"E01027452"
419744.077,586018.477,"E01027453"
424708.179,562230.48,"E01008170"
461004.727,515978.915,"E01012118"
442296.349,513861.552,"E01012199"
425018.569,562011.833,"E01008171"
449042.089,522362.805,"E01012198"
418311.6,562832.441,"E01008178"
417400.653,562811.03,"E01008179"
451881.971,519218.285,"E01012076"
451215.285,519119.478,"E01012077"
451144.569,518587.601,"E01012074"
451794.368,518542.307,"E01012075"
452946.659,515160.004,"E01012073"
453129.703,514569.344,"E01012071"
448995.69,518994.14,"E01012078"
449396.823,518416.647,"E01012079"
430752.727,516068.804,"E01012326"
431458.265,515448.404,"E01012327"
429566.436,517019.944,"E01012324"
431301.953,516121.645,"E01012325"
429062.516,517123.758,"E01012323"
431037.019,517146.065,"E01012328"
431314.164,516809.263,"E01012329"
427735.044,566908.932,"E01008316"
425099.557,565001.218,"E01008397"
426232.105,567319.665,"E01008317"
423552.027,564942.981,"E01008396"
427371.805,567023.442,"E01008314"
424144.116,564879.773,"E01008395"
426477.322,566917.698,"E01008315"
424042.836,565409.038,"E01008394"
421291.998,569209.463,"E01008312"
421784.37,569206.539,"E01008313"
428165.472,565164.81,"E01008392"
428247.802,564898.154,"E01008391"
421744.579,569570.957,"E01008311"
428288.431,563468.869,"E01008390"
426810.485,566705.672,"E01008318"
423622.419,564629.628,"E01008399"
427996.616,567366.662,"E01008319"
423411.063,564465.487,"E01008398"
447174.607,524824.885,"E01012216"
445703.037,525486.641,"E01012297"
443563.96,518668.76,"E01012217"
445616.19,524971.191,"E01012296"
446766.704,524329.594,"E01012214"
437526.533,523363.92,"E01012295"
446539.188,524223.01,"E01012215"
439370.191,521806.689,"E01012294"
443260.736,522140.049,"E01012212"
443566.813,521753.396,"E01012213"
445696.514,516413.028,"E01012292"
444480.352,522740.019,"E01012210"
445298.12,516689.684,"E01012291"
443979.943,522511.719,"E01012211"
445154.718,515890.341,"E01012290"
418271.303,561041.691,"E01008276"
417765.063,561904.872,"E01008277"
420667.661,558825.584,"E01008274"
419770.975,560582.302,"E01008275"
420936.881,559086.947,"E01008272"
420376.342,558953.07,"E01008273"
420206.173,560166.525,"E01008270"
443275.79,518379.92,"E01012218"
441942.199,512666.077,"E01012299"
419598.5,560214.069,"E01008271"
443098.395,519387.67,"E01012219"
442922.456,511943.667,"E01012298"
416960.106,561270.542,"E01008278"
417175.026,562145.636,"E01008279"
426578.754,552046.739,"E01020597"
426958.807,552277.886,"E01020596"
427813.592,550695.594,"E01020595"
427432.026,550655.18,"E01020594"
427179.973,551186.248,"E01020593"
426754.076,551371.365,"E01020592"
431142.145,551154.612,"E01020591"
431316.837,550559.227,"E01020590"
426770.961,550582.798,"E01020599"
427473.487,552076.172,"E01020598"
434502.529,569173.743,"E01008526"
435412.384,569156.392,"E01008527"
435578.782,568253.928,"E01008524"
435073.165,569471.89,"E01008525"
433865.416,571848.239,"E01008522"
434667.752,572874.907,"E01008523"
434629.958,572381.162,"E01008520"
433472.376,571704.597,"E01008521"
434959.459,568961.53,"E01008528"
435325.268,568787.132,"E01008529"
419917.054,565318.361,"E01008416"
435848.09,571246.914,"E01008497"
436233.599,571352.36,"E01008496"
435978.315,570858.086,"E01008495"
419958.286,564870.485,"E01008415"
435228.31,570360.816,"E01008494"
426636.757,565231.719,"E01008412"
435714.604,570379.789,"E01008493"
426528.531,565041.775,"E01008413"
433606.466,568642.136,"E01008492"
426230.008,565206.756,"E01008410"
433135.495,569277.682,"E01008491"
425912.958,565347.21,"E01008411"
433305.812,569710.904,"E01008490"
424926.254,567861.776,"E01008418"
427475.33,570216.087,"E01008499"
424199.713,567890.346,"E01008419"
435151.096,570901.438,"E01008498"
432122.405,546704.928,"E01020726"
431782.703,546610.518,"E01020727"
429345.534,542346.653,"E01020724"
432944.173,544132.508,"E01020725"
428795.839,543071.522,"E01020722"
428800.577,542766.481,"E01020723"
427405.027,544686.826,"E01020720"
427792.941,544529.359,"E01020721"
434005.871,541965.499,"E01020729"
436976.286,553910.643,"E01008776"
437301.779,553582.82,"E01008777"
436382.707,553157.337,"E01008774"
435990.714,552644.489,"E01008775"
435983.732,553281.854,"E01008772"
436702.539,553242.922,"E01008773"
437475.138,552227.685,"E01008770"
438084.509,552016.793,"E01008771"
436589.132,553631.857,"E01008778"
440533.469,554570.915,"E01008779"
425249.489,553098.463,"E01020616"
430788.324,537858.601,"E01020697"
424516.754,552898.431,"E01020617"
427861.093,536831.223,"E01020696"
425789.518,554444.839,"E01020614"
431176.399,538434.44,"E01020695"
425657.188,553516.344,"E01020615"
430675.88,538417.201,"E01020694"
427450.087,552737.503,"E01020612"
429458.45,542958.376,"E01020693"
425978.393,554737.472,"E01020613"
429272.996,543438.179,"E01020692"
430595.733,543859.871,"E01020691"
427768.788,553592.333,"E01020611"
430732.781,544181.631,"E01020690"
425281.276,551482.161,"E01020618"
432668.368,535777.676,"E01020699"
431994.997,535373.476,"E01020698"
432522.8,562334.291,"E01008627"
439014.206,564439.825,"E01008624"
438642,564234.799,"E01008625"
438057.96,563592.22,"E01008622"
437606.356,562086.569,"E01008621"
433477.081,562465.659,"E01008628"
432990.961,562043.204,"E01008629"
428057.386,587439.559,"E01027546"
430771.558,587430.889,"E01027544"
430461.816,587551.617,"E01027543"
428599.044,587996.21,"E01027540"
429374.751,587239.264,"E01027549"
429187.488,574629.368,"E01027436"
430980.382,579861.943,"E01027437"
430746.83,574719.798,"E01027434"
428575.818,574334.567,"E01027435"
430444.809,575355.106,"E01027432"
429954.902,575562.634,"E01027433"
430577.483,580145.855,"E01027430"
431396.034,580047.063,"E01027438"
430479.001,579436.377,"E01027439"
412482.294,524229.773,"E01020856"
401265.918,519724.454,"E01020857"
404715.171,516329.201,"E01020854"
405198.819,517191.646,"E01020855"
405449.99,516557.033,"E01020852"
405727.792,517011.747,"E01020853"
427171.204,526707.327,"E01020850"
428244.267,526582.621,"E01020851"
416273.592,528454.251,"E01020858"
416495.549,528161.685,"E01020859"
429227.95,554255.64,"E01008866"
429642.958,555956.529,"E01008867"
428699.345,553846.483,"E01008864"
430060.537,554298.419,"E01008865"
431437.758,554626.491,"E01008862"
429710.912,553933.34,"E01008863"
430217.797,557831.607,"E01008860"
431024.386,554521.5,"E01008861"
428914.14,555778.126,"E01008868"
429211.175,556098.787,"E01008869"
453857.68,519363.035,"E01012167"
465555.838,518577.29,"E01012164"
466197.062,519089.032,"E01012165"
467297.815,518546.391,"E01012162"
466378.982,519379.945,"E01012163"
465648.155,521187.942,"E01012160"
466313.62,521110.898,"E01012161"
454551.511,519160.994,"E01012168"
448705.033,518896.115,"E01012056"
448465.474,518315.676,"E01012057"
448075.916,518084.533,"E01012054"
449032.807,517880.366,"E01012055"
450898.208,516148.082,"E01012052"
448208.265,517696.033,"E01012053"
450647.747,516953.484,"E01012050"
450796.708,516627.237,"E01012051"
451298.057,519703.788,"E01012058"
450984.545,519770.398,"E01012059"
430314.345,514098.511,"E01012306"
429985.295,515464.902,"E01012307"
429822.289,514261.159,"E01012304"
429762.523,513956.18,"E01012305"
442077.96,511543.174,"E01012302"
441532.43,511292.274,"E01012303"
441674.424,511845.365,"E01012300"
443468.569,512182.004,"E01012301"
425794.914,566320.562,"E01008366"
425560.1,566019.857,"E01008367"
427226.038,566180.565,"E01008364"
426875.026,566095.528,"E01008365"
427012.532,565407.64,"E01008362"
