"X","Y","MSOA2011"
387758.517,389349.211,"E02001204"
376231.354,386630.622,"E02001285"
390548.602,389306.754,"E02001205"
377680.337,386961.657,"E02001284"
388735.265,389542.781,"E02001202"
375793.903,388169.606,"E02001283"
396879.724,389598.806,"E02001203"
377033.499,388605.308,"E02001282"
389848.43,390385.242,"E02001200"
378265.392,388705.212,"E02001281"
353513.395,431808.509,"E02005258"
391070.398,389863.561,"E02001201"
379429.758,388705.546,"E02001280"
355750.448,431625.683,"E02005259"
386951.569,388514.944,"E02001208"
354216.708,408711.647,"E02001289"
389509.913,388640.502,"E02001209"
356623.419,409915.507,"E02001288"
355720.381,380784.919,"E02002587"
352834.829,381589.215,"E02002586"
350869.422,382352.071,"E02002585"
352150.258,382370.853,"E02002584"
354351.397,382425.197,"E02002583"
355865.881,382413.637,"E02002582"
348560.311,384592.905,"E02002581"
351418.77,385529.333,"E02002580"
352805.987,380451.168,"E02002589"
354392.012,380785.217,"E02002588"
335013.294,395105.749,"E02001466"
330711.754,393727.493,"E02001467"
333949.849,396308.737,"E02001464"
334111.613,395263.281,"E02001465"
333392.361,396752.735,"E02001462"
335160.839,396669.357,"E02001463"
332645.252,397528.977,"E02001460"
334617.32,397625.703,"E02001461"
331107.055,392805.554,"E02001468"
329290.086,392595.739,"E02001469"
361383.32,388282.436,"E02002606"
360146.294,387892.471,"E02002607"
356201.421,388785.697,"E02002604"
358019.129,388220.908,"E02002605"
359667.33,389463.577,"E02002602"
364795.106,389285.971,"E02002603"
361441.646,389606.227,"E02002600"
362906.208,389527.222,"E02002601"
356398.93,387668.801,"E02002608"
362794.709,387521.038,"E02002609"
334137.565,390912.022,"E02006934"
335140.924,390396.284,"E02006932"
394356.309,404876.879,"E02001116"
388102.38,390841.974,"E02001197"
334635.623,389402.337,"E02006933"
399754.545,404628.012,"E02001117"
394754.944,390974.013,"E02001196"
390474.107,405308.961,"E02001114"
392383.397,391522.777,"E02001195"
395637.881,405099.554,"E02001115"
387331.089,391586.515,"E02001194"
389336.94,405633.756,"E02001112"
389289.057,391586.632,"E02001193"
391620.423,405511.007,"E02001113"
388253.166,392236.72,"E02001192"
398284.425,405957.362,"E02001110"
393849.027,392299.038,"E02001191"
392596.825,405700.226,"E02001111"
391142.25,392513.117,"E02001190"
396439.827,404579.341,"E02001118"
386807.586,390748.356,"E02001199"
393580.768,404403.071,"E02001119"
393142.281,390821.997,"E02001198"
381309.722,410960.768,"E02001026"
379211.049,411072.845,"E02001027"
378096.42,412164.556,"E02001024"
382150.273,411512.733,"E02001025"
380708.078,412808.626,"E02001022"
379456.081,412369.107,"E02001023"
378121.444,414729.508,"E02001020"
377802.848,413883.147,"E02001021"
378196.231,410431.763,"E02001028"
341526.932,497729.276,"E02004016"
380574.084,409823.083,"E02001029"
351829.641,493623.56,"E02004017"
376075.642,509613.753,"E02004014"
337717.192,504091.231,"E02004015"
345808.592,526699.45,"E02004012"
364873.843,521690.241,"E02004013"
351466.193,530032.749,"E02004010"
351259.972,492593.236,"E02004018"
352781.984,492198.714,"E02004019"
336955.11,391121.902,"E02001376"
336394.046,390332.019,"E02001377"
337655.803,391287.619,"E02001374"
